[0.431290000000001, 0.4103300000000005]
[0.28979, 0.27122000000000007]
[0.19491000000000033, 0.18313000000000038]
[0.16533000000000056, 0.15465]
[0.15425000000000008, 0.1436300000000001]
[0.4311800000000013, 0.41184000000000104]
[0.29165, 0.2736300000000002]
[0.19541000000000053, 0.18219000000000032]
[0.1647200000000005, 0.15405999999999995]
[0.15506000000000011, 0.14575000000000005]
[0.9840000000000008, 0.9690000000000007]
[0.8700000000000007, 0.8310000000000006]
[0.6540000000000005, 0.6190000000000004]
[0.46900000000000036, 0.4850000000000004]
[0.36400000000000027, 0.34300000000000025]
[0.12846299999999988, 0.12992909090909094]
[0.22427000000000008, 0.22532272727272684]
[0.3351690000000005, 0.33819181818181765]
[0.3905449999999995, 0.39438818181818114]
[0.41458800000000023, 0.41850909090909155]
[0.45858606060606044, 0.4586060000000002]
[0.6494860606060596, 0.6478089999999983]
[0.8198412121212126, 0.819047499999998]
[0.8948533333333324, 0.8943755000000008]
[0.9215351515151505, 0.9215995000000005]
